Activity.Therapeutic area_Immunology,Activity.Therapeutic area_Neurology,Activity.Therapeutic area_Others,Project.Legal entity (Plant)_BE11,Project.Legal entity (Plant)_CN01,Project.Legal entity (Plant)_DE10,Project.Legal entity (Plant)_GB01,Project.Legal entity (Plant)_JP01,Project.Legal entity (Plant)_Others,Project.Legal entity (Plant)_US05,Project.Responsibility_Medical Affairs.1,Project.Responsibility_Others,Project.Responsibility_PVU Immunology,Project.Responsibility_PVU Neurology,Project.Responsibility_PVU New Medicines,Project.Responsibility_SPEAR,Project.Impact on patient_Direct impact on patients,Project.Impact on patient_Others,Project.Impact on patient_false,Project.R&D Priority_Core,Project.R&D Priority_Focused,Project.R&D Priority_Platinum,Project.R&D Priority_false,Activity.Number of patients,Activity.Number of sites,Activity.Nb of target countries,Activity.Duration,indication,OUTPUT
0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,400.0,100.0,6.0,1952640.0,3,166.975
1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,402.0,128.0,20.0,5862240.0,2,70.6
0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,55.0,24.0,1.0,3438720.0,1,12.062999999999999
0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,346.0,24.0,1.0,2916000.0,3,193.525
0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,322.0,130.0,12.0,3733920.0,2,75.915
0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,45.0,25.0,1.0,2501280.0,1,12.375
1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,500.0,100.0,14.0,4240800.0,1,1.1
1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,435.0,81.0,9.0,1969920.0,1,5.0
1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,325.0,120.0,15.0,3641760.0,2,71.8
0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,200.0,10.0,1.0,1504800.0,1,3.25
1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,900.0,130.0,15.0,7113600.0,3,410.15
0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,24.0,15.0,1.0,2437920.0,2,53.675
0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,100.0,15.0,1.0,1828800.0,2,30.2
0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,24.0,1.0,1.0,1598400.0,1,11.35
0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,543.0,240.0,37.0,4256640.0,2,39.125
1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,125.0,40.0,3.0,1418400.0,2,26.475
1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,110.0,40.0,3.0,3379680.0,2,43.425
1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,560.0,100.0,15.0,2034720.0,1,7.0
1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,16.0,6.0,2.0,2276640.0,1,14.075
0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,300.0,155.0,31.0,2678400.0,3,128.575
1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,1600.0,330.0,30.0,2744640.0,3,194.4
0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,24.0,1.0,1.0,1812960.0,1,4.7
0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,300.0,80.0,4.0,1795680.0,3,197.6
0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,72.0,12.0,1.0,2115360.0,2,62.035
1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,40.0,15.0,1.0,1861920.0,3,110.925
1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,311.0,141.0,24.0,4993920.0,1,8.5
0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,248.0,24.0,1.0,4212000.0,3,172.75
